S,E,I,R,Beta
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
42974,0,0,57026,0.0
56991,0,10,42999,3.5093260339351827e-06
56989,1,10,43000,3.509449191949324e-06
56987,3,9,43001,-0.0
56987,1,11,43001,1.5952601630036835e-06
56986,2,9,43003,1.949796636210843e-06
56985,3,5,43007,-0.0
56985,3,4,43008,4.387119417390541e-06
56984,3,3,43010,-0.0
56984,1,4,43011,-0.0
56984,1,2,43013,-0.0
56984,1,2,43013,-0.0
56984,1,1,43014,-0.0
56984,1,1,43014,-0.0
56984,1,1,43014,-0.0
56984,0,1,43015,-0.0
56984,0,1,43015,-0.0
56984,0,1,43015,-0.0
56984,0,1,43015,-0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
56984,0,0,43016,0.0
